devicecode,Level1,Level2,Level3,Level4,Weighted,sbbm,Color
20M00000014854481,重庆,500kV,500kV万县变电站,1#主变C相变压器,1,20M00000014854481,0
20M00000014812717,重庆,500kV,500kV圣泉变电站,3#主变A相变压器,1,20M00000014812717,0
20M00000014854435,重庆,500kV,500kV万县变电站,1#主变B相变压器,1,20M00000014854435,0
20M00000014758880,重庆,500kV,500kV长寿变电站,2#主变A相变压器,1,20M00000014758880,0
20M00000014758899,重庆,500kV,500kV长寿变电站,2#主变C相变压器,1,20M00000014758899,0
20M00000014759298,重庆,500kV,500kV长寿变电站,5051C相电抗器,1,20M00000014759298,0
03M40000005698723,天津,500kV,吴庄,5B相主变压器,1,03M40000005698723,0
03M40000007162885,天津,500kV,滨海,2#A相主变压器,1,03M40000007162885,0
03M40000007165761,天津,500kV,滨海,3#B相主变压器,1,03M40000007165761,0
03M40000007424514,天津,500kV,板桥,2#B相主变压器,1,03M40000007424514,0
03M40000007425568,天津,500kV,板桥,2#C相主变压器,1,03M40000007425568,0
03M40000007162828,天津,500kV,滨海,2#C相主变压器,1,03M40000007162828,0
03M40000007425722,天津,500kV,板桥,52DK并联电抗器B相,1,03M40000007425722,0
03M40000007433348,天津,500kV,板桥,3#A相主变压器,1,03M40000007433348,0
03M40000006230949,天津,500kV,芦台,2号主变压器A相,1,03M40000006230949,0
03M40000006230952,天津,500kV,芦台,2号主变压器B相,1,03M40000006230952,0
03M40000006230961,天津,500kV,芦台,3号主变压器A相,1,03M40000006230961,0
03M40000006230967,天津,500kV,芦台,3号主变压器C相,1,03M40000006230967,0
03M40000006232816,天津,500kV,芦台,52DK并联电抗器B相,1,03M40000006232816,0
03M40000006230964,天津,500kV,芦台,3号主变压器B相,1,03M40000006230964,0
03M40000006232819,天津,500kV,芦台,52DK并联电抗器C相,1,03M40000006232819,0
03M40000007162245,天津,500kV,吴庄,2#B相主变压器,1,03M40000007162245,0
03M40000007162248,天津,500kV,吴庄,2#C相主变压器,1,03M40000007162248,0
03M40000007162803,天津,500kV,滨海,3#C相主变压器,1,03M40000007162803,0
03M40000007425724,天津,500kV,板桥,52DK并联电抗器C相,1,03M40000007425724,0
03M40000006918484,天津,500kV,北郊,3#B相主变压器,1,03M40000006918484,0
03M40000007425633,天津,500kV,板桥,3#B相主变压器,1,03M40000007425633,0
03M40000006918545,天津,500kV,北郊,3#C相主变压器,1,03M40000006918545,0
15M00000014402105,湖北,500kV,斗笠变电站,斗孝Ⅰ回斗5063B相电抗器,1,15M00000014402105,0
